parser,doc_id,id,gold,pred,score,ok,match_type,verdict,overconfident,judge_reason,missing_points,superfluous_points
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,1,56 V,56 V,1.0,1,exact,correct,0,rule:exact,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,2,17.5 in (45 cm),17.5 in. (45 cm),1.0,1,numeric≈,correct,0,rule:numeric≈,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,3,0.095 in (2.4 mm),NOT_FOUND,0.0,0,llm-rubric,incorrect,0,judge-parse-error,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,4,0.105 in (2.7 mm),0.105 in (2.7 mm),1.0,1,exact,correct,0,rule:exact,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,5,"Low 3500/min, Medium 4500/min, High 5700/min",NOT_FOUND,0.0,0,llm-rubric,incorrect,0,judge-parse-error,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,6,IPX5,IPX5,1.0,1,exact,correct,0,rule:exact,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,7,32–104°F (0–40°C),-40°F to 356°F (-40°C to 180°C),0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,8,−4–158°F (−20–70°C),-4 – 158°F (-20 – 70°C),0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,9,9.04 lb (4.1 kg),NOT_FOUND,0.0,0,llm-rubric,incorrect,0,judge-parse-error,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,10,Bump head,Bump Head,1.0,1,exact,correct,0,rule:exact,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,11,AH3810,Model number AH3810,1.0,1,numeric≈,correct,0,rule:numeric≈,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,12,AL2420P,AL2420P,1.0,1,exact,correct,0,rule:exact,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,13,At least 50 ft (15 m),At least 50 ft (15 m),1.0,1,exact,correct,0,rule:exact,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,14,ANSI Z87.1,ANSI Z87.1,1.0,1,exact,correct,0,rule:exact,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,15,No,"No, do not operate the machine in rain or wet conditions; water entering the machine may increase the risk of electric shock or malfunction that could result in personal injury.",1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,16,Yes,"Yes, always wear long trousers when operating the tool.",1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,17,No,Do not operate the machine above waist height.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,18,Yes,"Yes, ear/hearing protectors are recommended while operating.",1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,19,Remove/disconnect the battery pack,Always remove the battery pack from the machine before performing any maintenance or adjustments.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,20,No,"Never use metal-reinforced line, wire, or rope; these can break off and become dangerous projectiles.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,21,Reduces risk from thrown objects and contact with the line,Reduces risk of injury by preventing operation without guard; protects hands from line-cutting blade during mounting or replacement,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,22,Keeps the cutting line at the proper length,The line-cutting blade on the guard cuts the trimmer line to the proper length.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,23,No—use only the EGO blade,Use only the EGO blade; using any other brand blade could result in serious personal injury.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,24,Keep the cutting attachment parallel to the ground,The correct angle for the cutting attachment is parallel to the ground.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,25,A sudden kick/motion if the blade jams or catches on an object,"Blade thrust is a sudden, violent motion of the machine that can occur when the blade jams or catches on an object it cannot cut, causing the unit to move unexpectedly and possibly making the operator lose control.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,26,Move the lock‑off lever forward and press the trigger switch,Move the lock-off lever forward and then press the trigger switch; the motor starts only when both are engaged.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,27,Release the trigger switch,Move the machine away from the cutting area and release the trigger switch to stop it.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,28,By trigger pressure (more pressure = higher speed),"The rotational speed of the trimmer head is controlled with the trigger switch; more pressure on the trigger results in higher speed, less pressure results in lower speed.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,29,Three,Three speed modes,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
own tool,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,30,Low speed,Low speed mode provides longer operating time per charge.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
